symbol,name,exchange,sector,industry,marketCap,country
NOWS.NE,SERVICENOW CDR (CAD HEDGED),NEO,,,652210208768.0,US
3436.T,SUMCO CORPORATION,JPX,,,1080613863424.0,US
090460.KS,BH,KSC,,,1076100005888.0,US
QCOM34.SA,QUALCOMM    DRN,SAO,,,1073562255360.0,US
LGEINDIA.NS,LG ELECTRONICS INDIA LTD,NSI,,,1072324673536.0,US
LGEINDIA.BO,LG Electronics India Limited,BSE,,,1072290725888.0,US
6856.T,HORIBA LTD,JPX,,,1071946268672.0,US
KEYS.MX,KEYSIGHT TECHNOLOGIES INC,MEX,,,1071166849024.0,US
083450.KQ,GST,KOE,,,1056467845120.0,US
IBMB34.SA,IBM         DRN ED,SAO,,,1047013425152.0,US
204270.KQ,JNTC,KOE,,,1045384790016.0,US
126340.KQ,VINATECH,KOE,,,1044983775232.0,US
A1DI34.SA,ANALOG DEVICDRN,SAO,,,1037443596288.0,US
248070.KS,SOLUM,KSC,,,1030439895040.0,US
056080.KQ,Yujin Robot,KOE,,,1029708578816.0,US
SSU.VI,SAMSUNG ELECTR-GDR,VIE,,,1029637079040.0,US
SSU.F,SAMSUNG ELECTRONICS CO. LTD.  R,FRA,,,1024383844352.0,US
CRWV.MX,COREWEAVE INC,MEX,,,1018372554752.0,US
7701.T,SHIMADZU CORP,JPX,,,1013024423936.0,US
336370.KS,Solus Advanced Materials,KSC,,,1009868800000.0,US
033790.KQ,FINO,KOE,,,1008572170240.0,US
052400.KQ,KONA I,KOE,,,1006038614016.0,US
SAPP34.SA,SAP SE      DRN ED,SAO,,,1006111948800.0,US
356860.KQ,TLB,KOE,,,979068846080.0,US
108320.KS,LX Semicon,KSC,,,975857975296.0,US
A1NE34.SA,ARISTA NETWODRN,SAO,,,972078776320.0,US
MSI.BA,MOTOROLA SOLUTIONS INC CEDEAR E,BUE,,,969414213632.0,US
2408.TW,NANYA TECHNOLOGY CORPORATION,TAI,,,965222596608.0,US
3017.TW,ASIA VITAL COMPONENTS CO LTD,TAI,,,962799009792.0,US
688981.SS,SEMICONDUCTOR MANUFACTURING INT,SHH,,,953722077184.0,US
6669.TW,WIWYNN CORPORATION,TAI,,,950575628288.0,US
2360.TW,CHROMA ATE INC,TAI,,,948844232704.0,US
094170.KQ,DONGWOON ANATECH,KOE,,,948057407488.0,US
WISEL.XC,Wise PLC,CXE,,,9447750656.0,US
SNOW.MX,SNOWFLAKE INC,MEX,,,942478458880.0,US
WISE.L,WISE GROUP PLC CLS A ORD USD0.0,LSE,,,9390483456.0,US
2327.TW,YAGEO CORP,TAI,,,937751740416.0,US
TER.MX,TERADYNE INC,MEX,,,936122122240.0,US
050890.KQ,Solid,KOE,,,934801047552.0,US
074600.KQ,WONIK QnC,KOE,,,931909599232.0,US
6787.T,MEIKO ELECTRONICS CO,JPX,,,929135001600.0,US
ZM.BA,ZOOM COMMUNICATIONS INC CEDEAR ,BUE,,,927698976768.0,US
S1TX34.SA,SEAGATE HOLDDRN,SAO,,,910257618944.0,US
046890.KQ,SSC,KOE,,,908867207168.0,US
5344.T,MARUWA CO LTD,JPX,,,904883863552.0,US
AMD.TO,ADVANCED MICRO DEVICES CDR (CAD,TOR,,,904576303104.0,US
FLEXN.MX,FLEX LTD,MEX,,,904132231168.0,US
MCHP.MX,MICROCHIP TECHNOLOGY,MEX,,,897473183744.0,US
STMN.MX,STMICROELECTRONICS,MEX,,,894126850048.0,US
WIRG.JK,WIR ASIA Tbk.,JKT,,,883458048000.0,US
327260.KQ,RF Materials,KOE,,,869725372416.0,US
WAAREEENER.BO,Waaree Energies Limited,BSE,,,869426135040.0,US
WAAREEENER.NS,WAAREE ENERGIES LIMITED,NSI,,,869282283520.0,US
ADSK.MX,AUTODESK INC,MEX,,,846462255104.0,US
